epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,663.564,1.7058,4.01226,1.50363,0.57502,0.13392,0.08352,0.04167,1.69898,2.38733,1.46942,0.000195312,0.000195312,0.000195312
2,919.084,1.80786,2.87129,1.63496,0.67067,0.09223,0.04878,0.0243,1.77735,4.14136,1.65355,0.000387438,0.000387438,0.000387438
3,1177.54,1.83142,2.78446,1.61238,0.64051,0.07433,0.07211,0.03333,1.78678,2.57474,1.70677,0.000575683,0.000575683,0.000575683
4,1434.85,1.80757,2.64582,1.64103,0.58541,0.10044,0.08413,0.04275,1.7731,2.68793,1.65527,0.000570536,0.000570536,0.000570536
5,1694.56,1.80975,2.62923,1.63081,0.51299,0.10428,0.08672,0.04375,1.79023,2.31455,1.64049,0.000564715,0.000564715,0.000564715
6,1956.78,1.81774,2.53338,1.66024,0.50683,0.11455,0.09158,0.04177,1.80988,2.25597,1.68383,0.000558894,0.000558894,0.000558894
7,2212.6,1.75739,2.39378,1.61182,0.56426,0.14454,0.12176,0.06235,1.72037,2.14637,1.64325,0.000553073,0.000553073,0.000553073
8,2472.88,1.75084,2.35221,1.62623,0.42107,0.13057,0.11737,0.0587,1.75683,2.20699,1.6785,0.000547252,0.000547252,0.000547252
9,2728.86,1.72026,2.25162,1.5992,0.62599,0.16108,0.13968,0.07341,1.70867,2.08068,1.62434,0.00054143,0.00054143,0.00054143
10,2988.92,1.70021,2.21293,1.57534,0.59054,0.164,0.1389,0.07123,1.71726,2.05192,1.61658,0.000535609,0.000535609,0.000535609
11,3245.84,1.67152,2.16596,1.54155,0.55438,0.16462,0.14026,0.07373,1.68404,2.04771,1.61415,0.000529788,0.000529788,0.000529788
12,3505.03,1.67589,2.10793,1.55779,0.55458,0.15757,0.13115,0.06814,1.69411,2.02426,1.60972,0.000523967,0.000523967,0.000523967
13,3762.17,1.6777,2.13687,1.55114,0.53966,0.16934,0.14207,0.07124,1.67601,1.9893,1.58428,0.000518146,0.000518146,0.000518146
14,4017.41,1.65124,2.03769,1.54873,0.48151,0.14789,0.14,0.07472,1.65499,1.98026,1.59353,0.000512324,0.000512324,0.000512324
15,4276.63,1.61942,2.01276,1.51154,0.38357,0.21539,0.16671,0.08536,1.6784,1.94514,1.59791,0.000506503,0.000506503,0.000506503
16,4537.88,1.61138,1.95183,1.51148,0.51433,0.19106,0.16687,0.08772,1.64625,1.89524,1.59107,0.000500682,0.000500682,0.000500682
17,4796.83,1.59338,1.90324,1.50636,0.45809,0.20734,0.15127,0.07771,1.65461,1.92593,1.57836,0.000494861,0.000494861,0.000494861
18,5053.19,1.6023,1.92982,1.53572,0.41789,0.19732,0.1513,0.08084,1.66253,2.0501,1.56976,0.00048904,0.00048904,0.00048904
19,5309.41,1.58049,1.85796,1.47848,0.4839,0.18893,0.15327,0.07672,1.71621,1.94558,1.61299,0.000483218,0.000483218,0.000483218
20,5564.63,1.58857,1.85833,1.48938,0.48451,0.18155,0.15743,0.08331,1.63818,1.90019,1.55329,0.000477397,0.000477397,0.000477397
